property_id,prediccion
107874572,no_reformado
107874572,no_reformado
107500836,reformado
107500836,reformado
107556966,no_reformado
106854434,reformado
106854434,reformado
107045470,reformado
107045470,reformado
106611139,reformado
106611139,reformado
107613286,no_reformado
107613286,no_reformado
107850423,reformado
105649163,reformado
106536194,reformado
104651722,no_reformado
104651722,no_reformado
106554767,reformado
106554767,reformado
107488923,reformado
103326988,reformado
106899126,reformado
95181102,no_reformado
95181102,no_reformado
107598462,no_reformado
107598462,no_reformado
105440856,reformado
105440856,reformado
107813486,no_reformado
107813486,no_reformado
103370146,reformado
103370146,reformado
107209769,reformado
107209769,reformado
103042820,reformado
103042820,reformado
107635115,no_reformado
106651993,reformado
106651993,reformado
107446755,reformado
106065853,no_reformado
106065853,no_reformado
105639958,no_reformado
105639958,no_reformado
107557953,no_reformado
107557953,no_reformado
104490153,reformado
104490153,reformado
99673998,no_reformado
104388089,reformado
105718088,reformado
105718088,reformado
106027178,no_reformado
106027178,no_reformado
107551713,no_reformado
107551713,no_reformado
107568284,no_reformado
107568284,no_reformado
103951605,reformado
103951605,reformado
107221127,reformado
107221127,reformado
104531490,no_reformado
104531490,no_reformado
107690717,no_reformado
107690717,no_reformado
104965998,no_reformado
104965998,no_reformado
105095861,no_reformado
105095861,no_reformado
107851697,no_reformado
107851697,no_reformado
105535991,no_reformado
105535991,no_reformado
107443331,reformado
101166377,reformado
104546685,no_reformado
107112925,no_reformado
107112925,no_reformado
107210069,reformado
107210069,reformado
107615350,no_reformado
107634414,no_reformado
107634414,no_reformado
107626099,reformado
107626099,reformado
107704086,reformado
107704086,reformado
107656541,no_reformado
107020358,no_reformado
107020358,no_reformado
107307982,no_reformado
107307982,no_reformado
107638900,no_reformado
107638900,no_reformado
107659414,reformado
107659414,reformado
106235267,reformado
107140780,reformado
107140780,reformado
107373802,no_reformado
107373802,no_reformado
106829243,no_reformado
106829243,no_reformado
105363044,no_reformado
105363044,no_reformado
105642291,no_reformado
105642291,no_reformado
106638626,reformado
105375035,reformado
105375035,reformado
107332397,reformado
107332397,reformado
105362922,reformado
105362922,reformado
107749635,reformado
107749635,reformado
38168877,no_reformado
107551951,no_reformado
107551951,no_reformado
107262709,reformado
107262709,reformado
105504401,reformado
104668836,reformado
104668836,reformado
107305842,reformado
107305842,reformado
107564953,no_reformado
92114729,reformado
107265387,reformado
107265387,reformado
105224857,no_reformado
105224857,no_reformado
107320613,reformado
107840425,no_reformado
107840425,no_reformado
96413799,reformado
96413799,reformado
107176242,no_reformado
107176242,no_reformado
105432541,no_reformado
105432541,no_reformado
107515730,no_reformado
107515730,no_reformado
107658947,reformado
107658947,reformado
105869799,no_reformado
103200398,no_reformado
103200398,no_reformado
92762354,reformado
96412723,reformado
96412723,reformado
107615008,no_reformado
107703403,reformado
107703403,reformado
107847799,reformado
107847799,reformado
102587519,reformado
102587519,reformado
107845098,reformado
107541493,reformado
107541493,reformado
106727270,reformado
106727270,reformado
106702771,no_reformado
106702771,no_reformado
107864531,no_reformado
107785775,reformado
107785775,reformado
107372030,reformado
107372030,reformado
104202872,no_reformado
104202872,no_reformado
107878661,reformado
106637750,no_reformado
107188595,reformado
107188595,reformado
106769275,no_reformado
106769275,no_reformado
107079142,no_reformado
107243453,reformado
107243453,reformado
107861657,no_reformado
107861657,no_reformado
106453740,reformado
106453740,reformado
103334938,reformado
105315591,no_reformado
105315591,no_reformado
107623798,no_reformado
107860215,no_reformado
107860215,no_reformado
107238376,no_reformado
107238376,no_reformado
98271399,reformado
98271399,reformado
98567072,reformado
98567072,reformado
107344192,reformado
107344192,reformado
107861401,reformado
107861401,reformado
107747917,reformado
107747917,reformado
107228555,reformado
107228555,reformado
107852373,no_reformado
107852373,no_reformado
106261650,reformado
106261650,reformado
107851543,no_reformado
106011664,reformado
106011664,reformado
107856217,no_reformado
107856217,no_reformado
102852910,reformado
102852910,reformado
106827175,no_reformado
106827175,no_reformado
106986951,reformado
104137007,reformado
104137007,reformado
106476249,no_reformado
106476249,no_reformado
104866036,no_reformado
106600272,reformado
107856856,reformado
107856856,reformado
105489695,no_reformado
105489695,no_reformado
107691789,reformado
107691789,reformado
107698620,reformado
107698620,reformado
107759905,no_reformado
107759905,no_reformado
107834225,reformado
107825738,reformado
107855619,reformado
107855619,reformado
106839318,reformado
107825491,reformado
107825491,reformado
106877722,no_reformado
106877722,no_reformado
107730462,no_reformado
107665588,reformado
107665588,reformado
107731386,reformado
107731386,reformado
107616429,reformado
107809886,reformado
107809886,reformado
107836727,no_reformado
107836727,no_reformado
106892465,no_reformado
106892465,no_reformado
107811652,reformado
107811652,reformado
107549332,reformado
107821288,no_reformado
107821288,no_reformado
107401244,reformado
107401244,reformado
107312968,reformado
107312968,reformado
104166831,reformado
104166831,reformado
106714306,no_reformado
107445661,no_reformado
107445661,no_reformado
107616163,reformado
107828943,no_reformado
107623627,no_reformado
107623627,no_reformado
104812036,no_reformado
106862285,reformado
106255597,no_reformado
106255597,no_reformado
106261389,reformado
106261389,reformado
107726516,no_reformado
107726516,no_reformado
107650155,no_reformado
107650155,no_reformado
106902473,no_reformado
106902473,no_reformado
107703257,reformado
107703257,reformado
104638439,reformado
104638439,reformado
102947315,no_reformado
92040036,reformado
92040036,reformado
107373795,no_reformado
107373795,no_reformado
103655240,reformado
104337220,reformado
106520370,no_reformado
107735795,reformado
107735795,reformado
107793002,no_reformado
107793002,no_reformado
107624972,reformado
107624972,reformado
106238704,reformado
106238704,reformado
107835978,reformado
107835978,reformado
105883029,reformado
105883029,reformado
93956062,reformado
93956062,reformado
104970993,reformado
104970993,reformado
107017486,reformado
107017486,reformado
39827939,no_reformado
39827939,no_reformado
107855854,reformado
107855854,reformado
107825195,no_reformado
107825195,no_reformado
107525606,no_reformado
107525606,no_reformado
105501758,reformado
107311347,reformado
107311347,reformado
107695777,reformado
107695777,reformado
106041837,no_reformado
106041837,no_reformado
107736638,reformado
107676582,no_reformado
107676582,no_reformado
106209067,reformado
107615214,no_reformado
107615214,no_reformado
93955768,reformado
93955768,reformado
106975939,reformado
106975939,reformado
107226333,reformado
107226333,reformado
102719189,reformado
102719189,reformado
105501720,reformado
107486647,reformado
107486647,reformado
107853882,reformado
107853882,reformado
97626370,reformado
97626370,reformado
105337310,reformado
107738145,no_reformado
107738145,no_reformado
107823880,reformado
107823880,reformado
106627107,reformado
91265240,reformado
107515476,no_reformado
106971624,reformado
106971624,reformado
104305083,no_reformado
104305083,no_reformado
106943657,reformado
106943657,reformado
106253410,no_reformado
106703884,reformado
106703884,reformado
107551511,no_reformado
107551511,no_reformado
107350205,no_reformado
107350205,no_reformado
106572808,no_reformado
106572808,no_reformado
106785264,reformado
106681852,no_reformado
106681852,no_reformado
107534346,no_reformado
107135633,no_reformado
107762180,no_reformado
107762180,no_reformado
107592828,reformado
107592828,reformado
107657449,no_reformado
107657449,no_reformado
107262224,reformado
107262224,reformado
107760687,no_reformado
104773982,no_reformado
106855595,no_reformado
106855595,no_reformado
107115492,reformado
107174783,no_reformado
107174783,no_reformado
107831782,no_reformado
107636187,reformado
107636187,reformado
102485802,no_reformado
106490376,reformado
107657036,no_reformado
107657036,no_reformado
107563500,reformado
107563500,reformado
107734309,no_reformado
107734309,no_reformado
107663000,reformado
107725642,no_reformado
107725642,no_reformado
107026505,no_reformado
107026505,no_reformado
107447083,reformado
107447083,reformado
107247147,reformado
107247147,reformado
107713191,no_reformado
107713191,no_reformado
107832872,reformado
107465425,no_reformado
107821649,reformado
103674717,no_reformado
107600319,no_reformado
107600319,no_reformado
107229135,no_reformado
107229135,no_reformado
106577733,reformado
106577733,reformado
107797976,reformado
107474561,reformado
106144699,no_reformado
106144699,no_reformado
107646384,no_reformado
107646384,no_reformado
107823071,reformado
107823071,reformado
107333090,no_reformado
107333090,no_reformado
106335840,reformado
106335840,reformado
107343819,no_reformado
107343819,no_reformado
107508828,reformado
107508828,reformado
107022256,reformado
107022256,reformado
107673289,no_reformado
107673289,no_reformado
106267194,no_reformado
106267194,no_reformado
107534413,no_reformado
107534413,no_reformado
107638897,no_reformado
107638897,no_reformado
107697828,reformado
107697828,reformado
